file,category,input_len,output_len,concurrency,repeat,num_prompts,completed,duration_s,total_input_tokens,total_output_tokens,request_throughput_rps,output_throughput_tps,total_token_throughput_tps,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,nonempty_errors
concurrency_in512_out128_c16_r1.json,concurrency,512,128,16,1,50,50,365.4561425372958,25566,6176,0.13681532249768483,16.89942863491403,86.85583933443023,92118.83901357651,109266.06795564294,110071.01878486574,110142.93461106718,73.58814784610678,56.71929025391894,58.0957893604838,476.4461916834116,57.490895794495486,63.436535000801086,111.82078070938586,99330.494171381,116510.9923183918,117273.42350259423,117330.74211217463,0
concurrency_in512_out128_c16_r2.json,concurrency,512,128,16,2,50,50,362.7199787348509,25566,6176,0.1378473834675374,17.02690880591022,87.51103292053143,91496.03210404515,108734.8991446197,109115.98849073052,109136.8348479271,73.13545907850029,56.32099350841027,57.672678825892795,475.65236713985604,57.05859275933887,62.60803490877151,111.60091392695904,98653.45936328173,115931.92365020514,116262.20827624202,116279.89209629595,0
concurrency_in512_out128_c16_r3.json,concurrency,512,128,16,3,50,50,361.7381172552705,25566,6176,0.1382215409849002,17.073124742454873,87.74856307885403,91254.67485174537,108548.49994182587,108714.67084251344,108774.46924559772,72.87363751533776,56.20429711783026,57.0820635932637,472.72733348111313,56.89848868095563,62.135820835828774,110.7853440195322,98392.018648386,115697.64841720462,115848.18077906966,115902.62431912124,0
concurrency_in512_out128_c1_r1.json,concurrency,512,128,1,1,50,50,366.1373806744814,25566,6176,0.13656076281501853,16.867985422911087,86.69423466548636,102.0296148955822,102.0682342350483,105.74700310826302,106.97578147053719,73.6871286463237,56.78465317084094,58.03137806163529,477.4552859117588,57.552007152889004,63.46627697348595,111.96305476129055,7321.350785046816,7311.533458530903,7416.997254267335,7469.722693413496,0
concurrency_in512_out128_c1_r2.json,concurrency,512,128,1,2,50,50,366.1952642798424,25566,6176,0.13653917698343185,16.865319140993503,86.68053111616187,100.94429701566696,100.44007003307343,104.18417751789093,117.5513013452291,73.63758989472402,56.76277078629478,58.077386417609496,475.56534355382126,57.56957821989888,64.09627944231033,111.12642921507359,7322.469444870949,7306.609958410263,7441.5061969310045,7477.446186095476,0
concurrency_in512_out128_c1_r3.json,concurrency,512,128,1,3,50,50,363.2576393634081,25566,6176,0.13764335441815523,17.001707137730534,87.38150711882167,100.6873171031475,100.65730288624763,104.3162651360035,104.88494984805584,73.19937633263471,56.37690691849379,58.013439040601725,476.1861308813095,57.10319367627024,62.51782700419425,111.24755181372166,7263.70918944478,7254.20543178916,7308.598992228508,7466.795907095075,0
concurrency_in512_out128_c2_r1.json,concurrency,512,128,2,1,50,50,363.5735592767596,25566,6176,0.13752375200073055,16.98693384713024,87.30557872014379,7220.691788345575,7350.1395136117935,7457.181146368384,7534.201758950949,73.4520988213265,56.393428258304525,57.75644022120734,480.83367946743965,57.19595551799641,62.94806413352488,111.87153287231922,14395.349698364735,14522.720284759998,14666.379214450717,14759.88624945283,0
concurrency_in512_out128_c2_r2.json,concurrency,512,128,2,2,50,50,362.43581023812294,25566,6176,0.1379554629746703,17.040258786631277,87.57964611483969,7198.972712308168,7345.200560986996,7423.335910961032,7504.088832661509,72.96493537266424,56.38729534515245,57.565901217263516,471.8404649545749,57.021381926238156,62.34399601817131,110.97912654280663,14351.732209771872,14477.718532085419,14631.612068042159,14685.889255404472,0
concurrency_in512_out128_c2_r3.json,concurrency,512,128,2,3,50,50,362.3032465428114,25566,6176,0.1380059397124165,17.046493673277684,87.6116907670305,7195.880359113216,7337.1686935424805,7395.217156410217,7442.786284387111,73.01775362195932,56.29429684614572,57.12514550784441,474.0376371691624,56.997929443130076,62.18393631279468,111.25687643885612,14345.697867125273,14484.096493571997,14595.295568555593,14633.880803585052,0
concurrency_in512_out128_c32_r1.json,concurrency,512,128,32,1,50,50,366.1130681410432,25566,6176,0.13656983142906484,16.86910557811809,86.69999178442752,154603.09929937124,180123.69282916188,227121.97753302753,227310.10698646307,73.67427708971219,56.744413963687705,58.98512241349915,476.09037152926123,57.587457984704905,64.09788578748703,111.65306366980076,161826.8671581149,187344.0927900374,234314.28992971778,234487.49844916165,0
concurrency_in512_out128_c32_r2.json,concurrency,512,128,32,2,50,50,365.9720477387309,25566,6176,0.1366224560289239,16.87560576869268,86.73339998540204,154564.27393853664,179710.28535440564,227500.8295841515,227632.329300493,73.74988033108198,56.87741081663005,58.05202599644191,478.98599555591744,57.5615709744945,64.02028724551201,111.66945233941078,161784.7945022583,187036.84003651142,234676.96656808257,234799.31716769934,0
concurrency_in512_out128_c32_r3.json,concurrency,512,128,32,3,50,50,362.35806453973055,25566,6176,0.1379850619952679,17.043914857655487,87.59843675707586,152973.9553001523,177746.36337906122,225088.8379674405,225125.72877004743,72.9712397022823,56.27686225288496,57.16165583434067,472.9433232843876,56.98917653501908,62.22827062010765,110.97248449921608,160122.67490833998,184850.5970388651,232245.40817178786,232301.26781381667,0
concurrency_in512_out128_c4_r1.json,concurrency,512,128,4,1,50,50,364.3151492923498,25566,6176,0.13724381238913783,16.952355706306307,87.12786185712027,21075.223759561777,21876.756105571985,22273.263696208596,22470.527984425426,73.2837443929019,56.47333136459035,58.014019361631135,472.8062805781762,57.30998137732968,63.31904120743275,111.09436184167862,28264.184921830893,29064.663130789995,29447.186433523893,29770.485125407577,0
concurrency_in512_out128_c4_r2.json,concurrency,512,128,4,2,50,50,363.04661006480455,25566,6176,0.1377233628240597,17.011589776027854,87.43229965522606,21008.014895617962,21846.0727147758,22030.02437390387,22068.516432344913,73.10180950907898,56.30196267225611,57.84042587899786,473.2035379012426,57.111795000941015,62.698230147361755,111.32157817482948,28172.11576923728,29001.98555737734,29204.58927564323,29269.85089816153,0
concurrency_in512_out128_c4_r3.json,concurrency,512,128,4,3,50,50,361.98963572084904,25566,6176,0.13812550157805586,17.06126195492146,87.68759342181298,20945.33924177289,21794.90116238594,21956.35331235826,22000.03313727677,72.9318039392236,56.2762200656369,57.11876100266543,472.9095124105612,56.94994510968729,62.03849054872989,110.92547126114368,28089.137706309557,28934.425078332424,29129.08525876701,29187.728239148855,0
