file,category,input_len,output_len,concurrency,repeat,num_prompts,completed,duration_s,total_input_tokens,total_output_tokens,request_throughput_rps,output_throughput_tps,total_token_throughput_tps,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,nonempty_errors
concurrency_in512_out128_c16_r1.json,concurrency,512,128,16,1,50,50,9.157139085233212,25566,6400,5.460220657850433,698.9082442048555,3490.8282709769387,135.32938554883003,136.47464662790298,171.44727110862732,174.12702977657318,18.173600591308485,18.36926079406513,18.72705091230982,18.978450847422984,18.173621725144347,21.096118539571762,28.44379007816315,2443.376660645008,2461.450930684805,2507.298793643713,2508.1203819811344,0
concurrency_in512_out128_c16_r2.json,concurrency,512,128,16,2,50,50,9.154769614338875,25566,6400,5.461633892095582,699.0891381882345,3491.7317798945473,133.94433468580246,131.8589746952057,168.73023696243763,172.98294015228748,18.172697044733,18.283212513435544,18.74316856558398,18.979791706119933,18.172717313832184,20.226313918828964,29.24359150230885,2441.8768593668938,2472.4491350352764,2492.0588977634907,2492.628326267004,0
concurrency_in512_out128_c16_r3.json,concurrency,512,128,16,3,50,50,9.158106476068497,25566,6400,5.459643882789252,698.8344169970243,3490.4595271448243,135.72884544730186,138.44985514879227,167.31446832418442,170.00252068042755,18.10773751045775,18.31476915422387,18.708761887052866,18.85377160383491,18.10775812216631,20.30903734266758,31.83579243719579,2435.4115092754364,2467.8698889911175,2474.6562611311674,2476.572121232748,0
concurrency_in512_out128_c1_r1.json,concurrency,512,128,1,1,50,50,85.1393758058548,25566,6400,0.5872723346482608,75.17085883497738,375.45494898732613,67.13339790701866,67.83487275242805,71.98055572807789,72.51419752836227,12.87396787541119,12.880071733645568,13.091647223107458,13.13040851373372,12.873988976394097,14.703397825360293,17.967429384589206,1702.12731808424,1702.697928994894,1728.8307964801788,1732.3403645306826,0
concurrency_in512_out128_c1_r2.json,concurrency,512,128,1,2,50,50,83.60806610435247,25566,6400,0.5980284239273548,76.54763826270141,382.33153198523644,40.42636156082153,40.16469419002533,43.852227926254265,48.221751749515526,12.8423306428072,12.864069969165982,12.968847548633109,13.034658222569256,12.842353236252867,14.559206739068028,17.148078605532657,1671.4023531973362,1674.2136292159557,1688.880605250597,1699.2261334508657,0
concurrency_in512_out128_c1_r3.json,concurrency,512,128,1,3,50,50,83.54613424837589,25566,6400,0.5984717360034164,76.6043822084373,382.61495026170417,39.10495638847351,38.83941471576691,43.44677180051803,46.72763191163539,12.84369467398313,12.83192355919072,12.99874383926861,13.057595618714497,12.845740091905835,14.406892657279968,17.19311147928238,1670.2541799843311,1670.3314520418644,1690.4319167137146,1696.900065690279,0
concurrency_in512_out128_c2_r1.json,concurrency,512,128,2,1,50,50,43.17280229181051,25566,6400,1.1581365430495705,148.24147751034502,740.4198547024514,55.40859580039978,49.76486787199974,70.25028690695763,72.61212535202502,13.156535982146975,13.128319329868152,13.354849753769365,13.469814602432288,13.156556803879775,14.845274761319157,18.39191310107708,1726.2886655330658,1726.4225333929062,1750.068061426282,1762.1937735378742,0
concurrency_in512_out128_c2_r2.json,concurrency,512,128,2,2,50,50,43.50659501552582,25566,6400,1.149251049919143,147.1041343896503,734.7391812343066,53.541748374700546,48.78653585910797,67.38227754831314,68.5787495225668,13.276126837636545,13.283487497352239,13.526345991830187,13.5879447105832,13.276147912806413,15.204733610153186,18.56881015002728,1739.6098567545414,1738.920398056507,1764.5986072719097,1774.0161629021168,0
concurrency_in512_out128_c2_r3.json,concurrency,512,128,2,3,50,50,43.63159314543009,25566,6400,1.145958613826984,146.68270256985394,732.6342609918674,54.38671678304672,50.17666518688202,68.3541290462017,72.32741497457027,13.308823819704884,13.307814170995098,13.555749857754218,13.67459395797703,13.308844935940945,16.11198261380195,18.469230756163604,1744.6073418855667,1746.5927116572857,1774.86202865839,1781.5279141068459,0
concurrency_in512_out128_c32_r1.json,concurrency,512,128,32,1,50,50,6.936412021517754,25566,6400,7.208337660002429,922.6672204803109,4608.434432792753,195.64222067594528,230.0143428146839,264.9651624262333,265.64409025013447,24.99923507528981,22.952409153144192,28.733898115557007,28.737788520108058,24.999255688171687,29.60609272122383,34.9495017528534,3370.545075237751,3151.198163628578,3776.7223577946424,3778.673983812332,0
