category,input_len,output_len,concurrency,runs,baseline_output_throughput_tps,optimized_output_throughput_tps,output_throughput_tps_change_pct,baseline_p95_ttft_ms,optimized_p95_ttft_ms,p95_ttft_ms_change_pct,baseline_p95_tpot_ms,optimized_p95_tpot_ms,p95_tpot_ms_change_pct,baseline_p95_e2el_ms,optimized_p95_e2el_ms,p95_e2el_ms_change_pct
concurrency,512,128,1,3,76.10762643537203,76.81624373945554,0.9310726628496963,53.09318515161673,44.55916558702787,-16.073662825499163,13.019746203669726,13.005164212833238,-0.11199904059864152,1702.7144394814968,1690.927804633975,-0.6922261639544794
concurrency,512,128,2,3,147.34277148994977,147.0060167278836,-0.22855193957657702,68.66223116715749,71.28896427651246,3.825586592081778,13.47898186778459,13.516948900119527,0.2816758172639108,1763.176232452194,1767.2194547951221,0.229314703119888
concurrency,512,128,4,3,269.0572076004983,267.741931670835,-0.4888461979491921,85.79864129424095,88.89919767777124,3.61375930522854,14.17593134963137,14.174493417886925,-0.010143472827143667,1864.7663448005915,1863.6392501493294,-0.06044160194142537
concurrency,512,128,8,3,469.45937893935275,472.2493629164236,0.5942972070073973,112.05723856886227,114.92439856131871,2.558656655361436,15.159605492365953,15.0263276391142,-0.8791643906490124,2021.7573101321855,1992.896179233988,-1.4275269713905687
concurrency,512,128,16,3,698.9439331300381,696.9045059045161,-0.2917869558419296,169.16399213174978,169.0575593461593,-0.06291692708905679,18.72632712164889,18.74567976519661,0.10334457697978927,2491.337984179457,2498.797948906819,0.2994360771093327
concurrency,512,128,32,3,923.1245387791306,1013.5038451633611,9.790586490503307,271.3204397509495,274.99122706552345,1.3529343082089327,28.719228341823488,24.08010141919135,-16.153382909234466,3777.449677387873,3208.2600661863885,-15.068092491309704
decoding,512,64,1,1,75.2250656347461,75.42908729409727,0.27121499679613903,41.94439649581909,45.66613249480724,8.873023120881294,13.10327984392643,13.050151740511257,-0.40545652728158876,865.982535853982,863.2612004876137,-0.3142482964376031
decoding,512,256,1,1,76.92304723787016,77.65057040506267,0.9457804823342109,45.08054070174694,47.498342767357826,5.363294290561142,13.019677421041562,12.89092204734391,-0.9889290612497527,3359.9572766572237,3329.621645435691,-0.9028576473958423
prefill,128,128,1,1,80.42966449436005,80.90161473172058,0.5867862813149312,35.07254943251609,39.124200865626335,11.552201076531722,12.470220055753789,12.330193638684243,-1.122886496336825,1616.4481043815613,1601.0429844260216,-0.9530228600461977
prefill,1024,128,1,1,74.68789158172326,75.18183906004309,0.6613488048184479,78.3121794462204,80.66333681344985,3.002288256891211,13.065475231315208,13.01637026737994,-0.37583756477202684,1732.934358716011,1727.0686354488134,-0.3384850232609918
prefill,2048,128,1,1,72.0887290382228,72.53708285854013,0.6219471841147471,133.06945227086544,136.0567942261696,2.2449494638509173,13.186625109648142,13.03320449050956,-1.1634562889509221,1801.5827551484108,1782.4712999165058,-1.0608147295643169
